Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	52675362-9d24-4335-b91e-807d40b90615
Plate Name	MA_ros_PMP_EXTRA
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	modified_spots_chanel_3 - Total Spot Area - Mean per Well	modified_spots_chanel_3 - Relative Spot Intensity - Mean per Well	modified_spots_chanel_3 - Number of Spots - Mean per Well	modified_spots_chanel_3 - Number of Spots per Area of modified_spots_chanel_3 - Mean per Well	spots_chanel_3_final - Number of Objects	spots_chanel_3_final - Relative Spot Intensity - Mean per Well	spots_chanel_3_final - Corrected Spot Intensity - Mean per Well	spots_chanel_3_final - Uncorrected Spot Peak Intensity - Mean per Well	spots_chanel_3_final - Spot Contrast - Mean per Well	spots_chanel_3_final - Spot Background Intensity - Mean per Well	spots_chanel_3_final - Spot Area [px²] - Mean per Well	spots_chanel_3_final - Region Intensity - Mean per Well	spots_chanel_3_final - Spot to Region Intensity - Mean per Well	spots_chanel_4 - Relative Spot Intensity - Mean per Well	spots_chanel_4 - Corrected Spot Intensity - Mean per Well	spots_chanel_4 - Uncorrected Spot Peak Intensity - Mean per Well	spots_chanel_4 - Spot Contrast - Mean per Well	spots_chanel_4 - Spot Background Intensity - Mean per Well	spots_chanel_4 - Spot Area [px²] - Mean per Well	spots_chanel_4 - Region Intensity - Mean per Well	spots_chanel_4 - Spot to Region Intensity - Mean per Well	ir_chanel_3_at - Number of Objects	ir_chanel_3_at - Number of modified_ir_chanel_3_at - Mean per Well	ir_chanel_3_at - Intensity ir_chanel_3_at chanel_3 Mean - Mean per Well	all_cells - Number of Objects	all_cells - chanel_3 Gabor Max 2 px w2 - Mean per Well	all_cells - chanel_3 SER Spot 1 px - Mean per Well	all_cells - chanel_3 SER Hole 1 px - Mean per Well	all_cells - chanel_3 SER Ridge 1 px - Mean per Well	all_cells - chanel_3 SER Valley 1 px - Mean per Well	all_cells - chanel_3_intensity Mean - Mean per Well	all_cells - chanel_3_intensity Sum - Sum per Well	all_cells - chanel_2 Area [µm²] - Mean per Well	all_cells - chanel_2 Roundness - Mean per Well	all_cells - chanel_2 Width [µm] - Mean per Well	all_cells - chanel_2 Length [µm] - Mean per Well	all_cells - chanel_1 Area [µm²] - Mean per Well	all_cells - chanel_1 Roundness - Mean per Well	all_cells - chanel_1 Width [µm] - Mean per Well	all_cells - chanel_1 Length [µm] - Mean per Well	all_cells - chanel_2_intensity Mean - Mean per Well	all_cells - chanel_1_intensity Mean - Mean per Well	chan3_intensitymean_div_chan2area	spotschan3_intensitymean_div_chan2area	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	cell_type	cell_id	compound	concentration	
2	2	1	0	3.07163004751	0.465276899873	0.673248218527	0.171071248541	18140	0.761958002148	31.9221926217	62.52646086	0.712253521163	8.37810031979	4.56240352811	37.6863565905	1.08405036552	0.766732442783	21.749663664	42.516782749	0.716117848857	5.29360373777	4.34980784113	16.3453187253	1.65900083069	294459	0.0204850250799	13.8799725683	202	0.140265493043	0.0225332036554	0.0165417831166	0.0297375006339	0.133183010651	0.758423627295	10034931	4402.60298183	0.58625963174	47.0438769831	112.825536273	305.303395517	0.807792297702	14.6118880961	24.5292037991	373.120751061	183.999908742	0.000172267095267	0.00725075432726	20	0	0	0	37	-1	5	E	440	UT	0	
2	3	1	0	2.66158159479	0.420798076426	0.613259668508	0.171049465993	7437	0.75620232291	30.3446850364	58.661153691	0.702655783418	8.31278145926	4.34005647438	36.3973300978	1.07515430933	0.760240156234	20.4057856562	38.8497750836	0.704941961261	5.395634297	3.95378990161	16.8511173084	1.5411796907	181439	0.0120426148733	14.3301683851	74	0.173977783831	0.0287506860442	0.0256927874613	0.0374295693938	0.150966587631	1.02202669019	5225039	4937.83541883	0.533765371643	48.4458833668	121.583299515	333.406960328	0.697460805627	14.5428265927	26.4882115287	437.139689777	141.934157613	0.000206978686713	0.00614534152368	20	0	0	-1	37	-1	5	E	440	T	50	
2	4	1	0	2.41077230692	0.409922169103	0.596225943514	0.169282243691	9542	0.751378304434	28.4754616145	54.625654999	0.694912187854	7.97735742549	4.04338713058	34.1748200639	1.07945398499	0.750305586644	18.882166599	36.0284266589	0.692194661536	5.33878099111	3.7536140385	14.889255186	1.62795359825	264535	0.00873608407205	13.0160869142	139	0.157765474661	0.0252112199843	0.0174176969887	0.0332669534962	0.136917258179	0.606800697221	6398443	4943.64505496	0.567099428092	48.1429421576	118.899103441	332.449680929	0.787228616018	15.352378895	25.4673704237	529.858261219	172.436073075	0.000122743580996	0.00576001337029	20	0	0	-1	37	-1	5	E	440	UT	0	
2	5	1	0	2.50337014198	0.427747905293	0.627133228166	0.18493886171	8746	0.747796150082	28.5614952769	54.6601875143	0.691113922762	8.20388929871	3.99176766522	34.8205421134	1.06822392021	0.757745881021	20.046204623	37.9419049811	0.701820747483	5.42717646226	3.83592393465	17.2988032107	1.50201422438	211523	0.0092046727779	14.2817335377	101	0.177385780223	0.0292241388531	0.0246154383034	0.0380465273267	0.150539051513	0.907373714136	6051857	3960.0000634	0.501388341629	41.7628147131	117.006978462	278.529153752	0.809216608338	13.7900230417	23.7756516978	556.070367235	219.98618416	0.000229134772629	0.00721249869184	19	0	0	0	37	-1	5	E	440	T	50	
2	6	1	0	2.67725950869	0.446967129239	0.650417081197	0.178160683607	33996	0.755776037651	29.7219433201	57.4749088128	0.702482272617	8.2002689306	4.11621955524	35.6095755064	1.07680145576	0.770295285528	21.7450662363	41.9824437494	0.720346049853	5.4888271225	4.17518582047	17.9711133875	1.51510259099	653637	0.0137278030466	14.6701638602	292	0.254628622431	0.0430274831439	0.0433120881882	0.054863242337	0.239978314579	1.47352671277	19395061	2804.45117741	0.519819642908	32.5093270675	107.370334112	277.418128129	0.816341893904	13.25388393	24.634153895	932.240487878	233.112000811	0.000525424270044	0.0105981318411	20	0	0	0	37	-1	5	E	440	UT	0	
2	7	1	0	2.71834193427	0.452116295845	0.657752334789	0.182597511688	31482	0.756893579941	29.880214411	57.5732164411	0.703967424192	8.33239155188	4.13277428372	35.9581596336	1.07377195393	0.773355117934	22.3964739864	42.8738577102	0.723608999101	5.63240865026	4.16632378036	19.0158560347	1.47581902233	613648	0.0141661017391	15.6500923096	150	0.281447740212	0.0487288988964	0.0561674827343	0.0617906786477	0.260852602415	2.46717242162	18991396	3990.18253122	0.575914842082	44.1785314834	108.62682515	302.860522314	0.8054284291	14.4375952033	24.8904892584	1280.72479392	209.908209158	0.000618310666822	0.00748843296697	20	0	0	0	37	-1	5	E	440	T	50	
2	8	1	0	2.97414416251	0.474243622375	0.685874742832	0.187521659256	37005	0.75974664951	32.1647507102	62.8536684232	0.709163911699	8.59373485285	4.33627888123	38.5113304683	1.06975442997	0.783166509259	24.8668684831	48.1584468566	0.737328661201	5.78185265521	4.48373440826	21.26921918	1.44141557912	622226	0.0185206018392	16.5830644115	112	0.30894180664	0.0552576937559	0.0712345204317	0.0692848914334	0.292267568105	2.81039353384	22765375	4455.13114469	0.555572932442	47.3219220936	113.291250725	328.016723069	0.710384517078	14.3685924574	26.6489649493	1861.71267528	169.833612468	0.000630821729501	0.00721970906481	18	0	0	0	37	-1	5	E	440	UT	0	
2	9	1	0	3.04477481569	0.486661665332	0.69728521016	0.191479146923	39914	0.765221501338	33.6300689679	65.5035576489	0.715846669672	8.71931352169	4.36661321842	40.1336948871	1.06646052066	0.787085835228	26.5002347918	51.3492207396	0.74338835567	5.98805919873	4.56691913989	22.7870782457	1.42789326809	620423	0.0211645925441	17.786339195	99	0.319586172386	0.0584757135445	0.0816149721608	0.0729721666292	0.306376469965	3.85482811208	24995263	4456.17886183	0.560740941476	46.9915796875	112.865702679	304.552286396	0.742906301794	14.1514428681	24.8848237927	2101.98675454	192.15060205	0.000865052375948	0.00754684001936	20	0	0	0	37	-1	5	E	440	T	50	
2	10	1	0	2.49004087459	0.442559537571	0.638833019745	0.190857484453	29539	0.754344847727	29.7907909457	57.1074850198	0.699216376547	8.36512878436	3.89779613392	36.1328018207	1.06455271823	0.778249014785	23.6382543548	44.9234417171	0.729818922364	5.85497152907	4.08460405439	20.3067692785	1.4528064385	608310	0.0119396360408	16.7125816781	132	0.332809994959	0.0597096288573	0.0787049328175	0.0741251189802	0.298650557393	2.69963128653	18909226	3301.76539096	0.559609945893	38.0628470931	107.215455169	280.264052385	0.81841672389	13.7077450601	24.2197552461	2209.94434658	232.648669341	0.000817632680358	0.00902268556913	13	0	0	0	37	-1	5	E	440	UT	0	
2	11	1	0	2.83350466713	0.439011463295	0.638677577203	0.171795036036	31064	0.757346598209	30.8246545134	60.417074427	0.705768902439	8.32641687783	4.43651815606	36.8190974151	1.07567168721	0.767542388066	21.9615935699	42.1548532291	0.714920345561	5.63778508753	4.08839698167	18.5873986557	1.48612464262	707951	0.0144487400964	14.9087108791	188	0.282295664951	0.0483282134134	0.0529911645355	0.0613435492615	0.264107684687	1.96347820397	20931372	3979.2824793	0.545811280626	43.2619557949	109.271830632	311.436582816	0.824262295925	15.0920737294	24.2586429263	1110.23545412	207.200161069	0.000493425187628	0.00774628458114	20	0	0	0	37	-1	5	E	440	T	50	
